df_index,model,city_attr_mass_ratio,pred_supercat
1,baseline,0.04246884950812995,sysadmin_devops_network
1,scrubbing,0.009003415626863489,generic_it_ops
1,gdro,0.12490508481543375,sysadmin_devops_network
1,focal,0.018126121737600958,generic_it_ops
1,label_smooth,0.015182987000368497,sysadmin_devops_network
1,debiased,0.002828524604408601,sysadmin_devops_network
1,oversample,0.006332411060369622,it_governance_leadership
2,baseline,0.0023082682184562284,project_product
2,scrubbing,0.021254479192344508,project_product
2,gdro,0.0009057637247783001,generic_it_ops
2,focal,0.0009991732917118735,project_product
2,label_smooth,0.0065016307954310106,generic_it_ops
2,debiased,0.0006557581688872638,sysadmin_devops_network
2,oversample,0.0017264318549426371,project_product
5,baseline,0.0,project_product
5,scrubbing,0.0,project_product
5,gdro,0.0,project_product
5,focal,0.0,project_product
5,label_smooth,0.0,project_product
5,debiased,0.0,project_product
5,oversample,0.0,project_product
16,baseline,0.0,technical_specialized
16,scrubbing,0.0,project_product
16,gdro,0.0,project_product
16,focal,0.0,project_product
16,label_smooth,0.0,technical_specialized
16,debiased,0.0,sysadmin_devops_network
16,oversample,0.0,technical_specialized
19,baseline,0.0,generic_it_ops
19,scrubbing,0.0,generic_it_ops
19,gdro,0.0,generic_it_ops
19,focal,0.0,generic_it_ops
19,label_smooth,0.0,generic_it_ops
19,debiased,0.0,sysadmin_devops_network
19,oversample,0.0,generic_it_ops
22,baseline,0.0,sysadmin_devops_network
22,scrubbing,0.0,sysadmin_devops_network
22,gdro,0.0,sysadmin_devops_network
22,focal,0.0,sysadmin_devops_network
22,label_smooth,0.0,sysadmin_devops_network
22,debiased,0.0,sysadmin_devops_network
22,oversample,0.0,sysadmin_devops_network
23,baseline,0.012524726705061199,technical_specialized
23,scrubbing,0.016035527607731546,technical_specialized
23,gdro,0.01023073696473416,technical_specialized
23,focal,0.002830900683745046,technical_specialized
23,label_smooth,0.009027974822783122,technical_specialized
23,debiased,0.003158070120012235,sysadmin_devops_network
23,oversample,0.027308946273862596,technical_specialized
24,baseline,0.0,it_governance_leadership
24,scrubbing,0.0,it_governance_leadership
24,gdro,0.0,it_governance_leadership
24,focal,0.0,it_governance_leadership
24,label_smooth,0.0,it_governance_leadership
24,debiased,0.0,it_governance_leadership
24,oversample,0.0,it_governance_leadership
26,baseline,0.0,technical_specialized
26,scrubbing,0.0,project_product
26,gdro,0.0,technical_specialized
26,focal,0.0,technical_specialized
26,label_smooth,0.0,technical_specialized
26,debiased,0.0,sysadmin_devops_network
26,oversample,0.0,technical_specialized
28,baseline,0.0,technical_specialized
28,scrubbing,0.0,project_product
28,gdro,0.0,generic_it_ops
28,focal,0.0,technical_specialized
28,label_smooth,0.0,technical_specialized
28,debiased,0.0,sysadmin_devops_network
28,oversample,0.0,backend_general_dev
35,baseline,0.0,it_governance_leadership
35,scrubbing,0.0,generic_it_ops
35,gdro,0.0,it_governance_leadership
35,focal,0.0,it_governance_leadership
35,label_smooth,0.0,it_governance_leadership
35,debiased,0.0,tech_support_helpdesk
35,oversample,0.0,it_governance_leadership
39,baseline,0.0,sysadmin_devops_network
39,scrubbing,0.0,sysadmin_devops_network
39,gdro,0.0,generic_it_ops
39,focal,0.0,generic_it_ops
39,label_smooth,0.0,project_product
39,debiased,0.0,sysadmin_devops_network
39,oversample,0.0,project_product
41,baseline,0.0,generic_it_ops
41,scrubbing,0.0,generic_it_ops
41,gdro,0.0,generic_it_ops
41,focal,0.0,generic_it_ops
41,label_smooth,0.0,generic_it_ops
41,debiased,0.0,generic_it_ops
41,oversample,0.0,generic_it_ops
43,baseline,0.0,generic_it_ops
43,scrubbing,0.0,generic_it_ops
43,gdro,0.0,generic_it_ops
43,focal,0.0,generic_it_ops
43,label_smooth,0.0,sysadmin_devops_network
43,debiased,0.0,sysadmin_devops_network
43,oversample,0.0,generic_it_ops
44,baseline,0.002240763313136228,sysadmin_devops_network
44,scrubbing,0.012611271589196522,sysadmin_devops_network
44,gdro,0.05592595133224107,generic_it_ops
44,focal,0.001768173209033638,sysadmin_devops_network
44,label_smooth,0.013993980556139955,sysadmin_devops_network
44,debiased,0.0034330666035964907,sysadmin_devops_network
44,oversample,0.010497158334981216,sysadmin_devops_network
47,baseline,0.0,sales_account
47,scrubbing,0.0,technical_specialized
47,gdro,0.0,sysadmin_devops_network
47,focal,0.0,project_product
47,label_smooth,0.0,sales_account
47,debiased,0.0,sysadmin_devops_network
47,oversample,0.0,technical_specialized
48,baseline,0.0,technical_specialized
48,scrubbing,0.0,technical_specialized
48,gdro,0.0,technical_specialized
48,focal,0.0,technical_specialized
48,label_smooth,0.0,technical_specialized
48,debiased,0.0,technical_specialized
48,oversample,0.0,technical_specialized
49,baseline,0.0,backend_general_dev
49,scrubbing,0.0,backend_general_dev
49,gdro,0.0,backend_general_dev
49,focal,0.0,backend_general_dev
49,label_smooth,0.0,backend_general_dev
49,debiased,0.0,backend_general_dev
49,oversample,0.0,backend_general_dev
58,baseline,0.0,sysadmin_devops_network
58,scrubbing,0.0,generic_it_ops
58,gdro,0.0,it_governance_leadership
58,focal,0.0,generic_it_ops
58,label_smooth,0.0,technical_specialized
58,debiased,0.0,sysadmin_devops_network
58,oversample,0.0,generic_it_ops
61,baseline,0.0,sysadmin_devops_network
61,scrubbing,0.0,sysadmin_devops_network
61,gdro,0.0,sysadmin_devops_network
61,focal,0.0,sysadmin_devops_network
61,label_smooth,0.0,sysadmin_devops_network
61,debiased,0.0,sysadmin_devops_network
61,oversample,0.0,sysadmin_devops_network
63,baseline,0.0,generic_it_ops
63,scrubbing,0.0,generic_it_ops
63,gdro,0.0,generic_it_ops
63,focal,0.0,generic_it_ops
63,label_smooth,0.0,generic_it_ops
63,debiased,0.0,generic_it_ops
63,oversample,0.0,generic_it_ops
64,baseline,0.0,backend_general_dev
64,scrubbing,0.0,backend_general_dev
64,gdro,0.0,backend_general_dev
64,focal,0.0,backend_general_dev
64,label_smooth,0.0,backend_general_dev
64,debiased,0.0,backend_general_dev
64,oversample,0.0,backend_general_dev
65,baseline,0.028976088957509936,generic_it_ops
65,scrubbing,0.05986034507151852,generic_it_ops
65,gdro,0.03254251713572058,sysadmin_devops_network
65,focal,0.033440137103831306,sysadmin_devops_network
65,label_smooth,0.03015745918094392,sysadmin_devops_network
65,debiased,0.023859979630871993,sysadmin_devops_network
65,oversample,0.04944207868657204,technical_specialized
66,baseline,0.0,web_frontend
66,scrubbing,0.0,web_frontend
66,gdro,0.0,web_frontend
66,focal,0.0,web_frontend
66,label_smooth,0.0,web_frontend
66,debiased,0.0,web_frontend
66,oversample,0.0,web_frontend
69,baseline,0.0,backend_general_dev
69,scrubbing,0.0,backend_general_dev
69,gdro,0.0,backend_general_dev
69,focal,0.0,backend_general_dev
69,label_smooth,0.0,backend_general_dev
69,debiased,0.0,backend_general_dev
69,oversample,0.0,backend_general_dev
81,baseline,0.0051356935331156066,it_governance_leadership
81,scrubbing,0.003908116318244008,it_governance_leadership
81,gdro,0.01038857961942666,it_governance_leadership
81,focal,0.013572735041967328,it_governance_leadership
81,label_smooth,0.0042370202401130356,it_governance_leadership
81,debiased,0.012327747732848317,generic_it_ops
81,oversample,0.00754433268864921,it_governance_leadership
87,baseline,0.0,generic_it_ops
87,scrubbing,0.0,generic_it_ops
87,gdro,0.0,generic_it_ops
87,focal,0.0,generic_it_ops
87,label_smooth,0.0,generic_it_ops
87,debiased,0.0,technical_specialized
87,oversample,0.0,generic_it_ops
91,baseline,0.0,sysadmin_devops_network
91,scrubbing,0.0,sysadmin_devops_network
91,gdro,0.0,sysadmin_devops_network
91,focal,0.0,sysadmin_devops_network
91,label_smooth,0.0,generic_it_ops
91,debiased,0.0,generic_it_ops
91,oversample,0.0,generic_it_ops
92,baseline,0.0,generic_it_ops
92,scrubbing,0.0,generic_it_ops
92,gdro,0.0,generic_it_ops
92,focal,0.0,generic_it_ops
92,label_smooth,0.0,generic_it_ops
92,debiased,0.0,generic_it_ops
92,oversample,0.0,generic_it_ops
93,baseline,0.0,project_product
93,scrubbing,0.0,project_product
93,gdro,0.0,generic_it_ops
93,focal,0.0,project_product
93,label_smooth,0.0,project_product
93,debiased,0.0,generic_it_ops
93,oversample,0.0,project_product
98,baseline,0.0,generic_it_ops
98,scrubbing,0.0,generic_it_ops
98,gdro,0.0,generic_it_ops
98,focal,0.0,generic_it_ops
98,label_smooth,0.0,generic_it_ops
98,debiased,0.0,generic_it_ops
98,oversample,0.0,generic_it_ops
102,baseline,0.0,it_governance_leadership
102,scrubbing,0.0,it_governance_leadership
102,gdro,0.0,it_governance_leadership
102,focal,0.0,it_governance_leadership
102,label_smooth,0.0,it_governance_leadership
102,debiased,0.0,it_governance_leadership
102,oversample,0.0,it_governance_leadership
105,baseline,0.0,technical_specialized
105,scrubbing,0.0,technical_specialized
105,gdro,0.0,technical_specialized
105,focal,0.0,technical_specialized
105,label_smooth,0.0,technical_specialized
105,debiased,0.0,technical_specialized
105,oversample,0.0,technical_specialized
108,baseline,0.009327774716212748,sales_account
108,scrubbing,0.007814594130421954,sysadmin_devops_network
108,gdro,0.006465482746795011,technical_specialized
108,focal,0.01707809971883958,generic_it_ops
108,label_smooth,0.007469491919617705,sales_account
108,debiased,0.0066792391695796845,sysadmin_devops_network
108,oversample,0.011659262617527272,technical_specialized
109,baseline,0.004029598625662436,sysadmin_devops_network
109,scrubbing,0.01117264246302125,sysadmin_devops_network
109,gdro,0.013040285113908931,generic_it_ops
109,focal,0.012015733818073688,sysadmin_devops_network
109,label_smooth,0.013670164162379856,sysadmin_devops_network
109,debiased,0.009177305990349466,sysadmin_devops_network
109,oversample,0.03488896050666096,sysadmin_devops_network
